epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,970.581,0.8015,1.37421,0.73432,1.03101,0.61217,0.65976,0.63984,0.50215,0.62424,0.65385,0.62965,0.48162,0.84786,1.8332,1.2009,1.11801,0.0011884,0.0011884,0.0011884
31,1002.58,0.8038,1.3932,0.73739,1.03562,0.54037,0.66272,0.50724,0.39286,0.53472,0.65976,0.50213,0.3749,0.85038,1.76516,1.36178,1.11711,0.0011719,0.0011719,0.0011719
32,1035.21,0.78841,1.32763,0.74044,1.01965,0.56892,0.6755,0.61468,0.48211,0.58411,0.66901,0.6027,0.45824,0.83613,1.83138,1.21339,1.12469,0.0011554,0.0011554,0.0011554
33,1067.63,0.79084,1.34352,0.71415,1.02571,0.643,0.64497,0.62631,0.50047,0.64241,0.64843,0.61667,0.48967,0.84827,1.77913,1.25087,1.13182,0.00113889,0.00113889,0.00113889
34,1099.59,0.78702,1.36107,0.74002,1.03746,0.57704,0.60651,0.59169,0.4542,0.57454,0.58876,0.58053,0.44829,0.92597,1.82538,1.30988,1.15656,0.00112239,0.00112239,0.00112239
35,1131.46,0.7599,1.29095,0.68948,1.01479,0.60959,0.67456,0.67214,0.53396,0.61059,0.67456,0.67056,0.53048,0.82064,1.72787,1.13347,1.11793,0.00110589,0.00110589,0.00110589
36,1163.21,0.76851,1.33641,0.69359,1.02294,0.62211,0.69822,0.63793,0.50791,0.62055,0.70157,0.63073,0.49703,0.79944,1.70353,1.14306,1.09906,0.00108938,0.00108938,0.00108938
37,1195.7,0.77779,1.33156,0.68289,1.01209,0.59337,0.72962,0.65662,0.53116,0.59096,0.72666,0.65544,0.51338,0.8018,1.60502,1.1691,1.08124,0.00107288,0.00107288,0.00107288
38,1227.71,0.75913,1.29446,0.67537,1.01078,0.60724,0.69527,0.64638,0.52631,0.60989,0.68919,0.64149,0.50936,0.80627,1.68941,1.13033,1.09784,0.00105638,0.00105638,0.00105638
39,1259.81,0.75061,1.26989,0.66403,1.01056,0.53991,0.70414,0.58052,0.45811,0.53216,0.72485,0.58057,0.4448,0.86812,1.85325,1.32893,1.16124,0.00103987,0.00103987,0.00103987
40,1291.22,0.74662,1.25682,0.65776,1.00341,0.58912,0.66864,0.62382,0.49719,0.60408,0.68343,0.63286,0.4683,0.86789,1.68789,1.18424,1.13538,0.00102337,0.00102337,0.00102337
41,1322.98,0.74748,1.26584,0.67909,1.01476,0.558,0.69822,0.58507,0.46237,0.56328,0.70118,0.5831,0.44976,0.77442,1.64816,1.18482,1.08485,0.00100687,0.00100687,0.00100687
42,1354.6,0.74726,1.23533,0.65538,1.00259,0.619,0.63609,0.60382,0.48815,0.62651,0.64201,0.59641,0.47594,0.80633,1.66395,1.2502,1.09731,0.000990365,0.000990365,0.000990365
43,1386.17,0.73591,1.21642,0.64742,1.00069,0.60652,0.71893,0.63569,0.51298,0.63168,0.71545,0.63299,0.50387,0.7887,1.6833,1.15382,1.07599,0.000973861,0.000973861,0.000973861
44,1417.56,0.75489,1.31187,0.7608,1.02129,0.59448,0.66864,0.60103,0.47788,0.59852,0.66272,0.60032,0.4539,0.80686,1.7582,1.21252,1.0982,0.000957358,0.000957358,0.000957358
45,1449.61,0.75548,1.24491,0.65132,1.00905,0.59201,0.6213,0.61904,0.50514,0.62113,0.60947,0.62116,0.48313,0.82429,1.83368,1.27224,1.11895,0.000940855,0.000940855,0.000940855
46,1481.25,0.72874,1.23763,0.62622,0.99465,0.55646,0.71638,0.61856,0.51211,0.57056,0.73373,0.62403,0.49927,0.7845,1.65008,1.2382,1.11074,0.000924352,0.000924352,0.000924352
47,1513.35,0.75349,1.26205,0.63648,1.00185,0.68018,0.59777,0.63243,0.51647,0.62236,0.6568,0.63473,0.4983,0.77645,1.63738,1.17356,1.09676,0.000907848,0.000907848,0.000907848
48,1544.96,0.73119,1.22273,0.64495,0.99913,0.5477,0.70118,0.56676,0.45473,0.55729,0.71135,0.57455,0.4445,0.78312,1.62746,1.34136,1.08067,0.000891345,0.000891345,0.000891345
49,1576.26,0.71417,1.18592,0.63571,0.99471,0.60613,0.66928,0.64099,0.52346,0.56877,0.73964,0.64479,0.50677,0.77991,1.61674,1.16169,1.07418,0.000874842,0.000874842,0.000874842
50,1607.83,0.72579,1.19803,0.62021,0.99429,0.52478,0.70898,0.54926,0.44371,0.57803,0.64034,0.55535,0.42994,0.78519,1.65248,1.25529,1.08089,0.000858338,0.000858338,0.000858338
51,1639.82,0.71475,1.19362,0.61019,0.99088,0.56621,0.68343,0.596,0.47896,0.55758,0.69231,0.60055,0.46303,0.81287,1.70342,1.23521,1.09973,0.000841835,0.000841835,0.000841835
52,1671.36,0.70863,1.18009,0.60244,0.99026,0.64016,0.6895,0.64677,0.53025,0.64193,0.69481,0.64761,0.50545,0.74212,1.61538,1.17523,1.0602,0.000825332,0.000825332,0.000825332
53,1703.54,0.71781,1.18162,0.60456,0.98016,0.61427,0.65489,0.622,0.50168,0.61955,0.66005,0.62344,0.49006,0.80061,1.68037,1.18364,1.09651,0.000808828,0.000808828,0.000808828
54,1734.96,0.69644,1.17136,0.58585,0.97962,0.61988,0.67545,0.61674,0.49943,0.63084,0.68047,0.6156,0.49059,0.787,1.57782,1.17971,1.09928,0.000792325,0.000792325,0.000792325
55,1766.77,0.7229,1.18532,0.60116,0.98513,0.58926,0.71302,0.60434,0.49257,0.62031,0.69822,0.60631,0.48268,0.78377,1.64769,1.12624,1.08009,0.000775822,0.000775822,0.000775822
56,1797.89,0.71553,1.20029,0.63032,1.00003,0.58049,0.70824,0.56525,0.44888,0.59081,0.69527,0.56437,0.43723,0.80601,1.62039,1.25185,1.0889,0.000759318,0.000759318,0.000759318
57,1829.29,0.69318,1.15122,0.59354,0.97821,0.60383,0.75759,0.65819,0.53925,0.61327,0.76943,0.65704,0.52874,0.75642,1.53903,1.10387,1.07138,0.000742815,0.000742815,0.000742815
58,1861.29,0.71463,1.19017,0.60164,0.98116,0.58628,0.6568,0.61481,0.50514,0.59501,0.66568,0.61625,0.49232,0.77303,1.57387,1.23174,1.06673,0.000726312,0.000726312,0.000726312
59,1892.68,0.6878,1.14766,0.5704,0.97573,0.62702,0.62426,0.61747,0.50305,0.57896,0.71598,0.62157,0.48832,0.78319,1.68198,1.17517,1.09354,0.000709809,0.000709809,0.000709809
60,1924.01,0.70161,1.15451,0.58641,0.98357,0.64824,0.63018,0.61892,0.50492,0.65275,0.63955,0.62361,0.50273,0.77204,1.55018,1.16531,1.07703,0.000693305,0.000693305,0.000693305
61,1955.4,0.68699,1.16163,0.57336,0.98382,0.63178,0.68343,0.62494,0.50485,0.63178,0.68343,0.62058,0.49205,0.7844,1.62706,1.29622,1.09259,0.000676802,0.000676802,0.000676802
62,1986.82,0.68912,1.14524,0.58085,0.97291,0.58157,0.67751,0.61175,0.49291,0.58899,0.68343,0.61007,0.48436,0.78909,1.59069,1.2173,1.09509,0.000660299,0.000660299,0.000660299
63,2018.6,0.6996,1.13874,0.57297,0.97464,0.6152,0.66568,0.61698,0.50642,0.6241,0.67456,0.61762,0.49303,0.75514,1.62303,1.19297,1.07728,0.000643795,0.000643795,0.000643795
64,2049.97,0.68713,1.13691,0.56894,0.97373,0.62413,0.71893,0.64793,0.5322,0.6277,0.72485,0.64549,0.51014,0.75823,1.58287,1.15524,1.0768,0.000627292,0.000627292,0.000627292
65,2081.68,0.67853,1.11754,0.57088,0.96705,0.62378,0.69231,0.6245,0.51148,0.63178,0.70118,0.63074,0.50156,0.77896,1.63263,1.16833,1.0839,0.000610789,0.000610789,0.000610789
66,2113.08,0.68318,1.11974,0.56238,0.96836,0.55633,0.73454,0.58778,0.47771,0.56305,0.74341,0.59314,0.46924,0.7956,1.61984,1.26142,1.08501,0.000594286,0.000594286,0.000594286
67,2144.43,0.67784,1.11588,0.5641,0.96919,0.54799,0.72485,0.61835,0.51164,0.56144,0.74236,0.62371,0.5021,0.7704,1.67308,1.19803,1.08133,0.000577782,0.000577782,0.000577782
68,2176.15,0.67581,1.12404,0.55165,0.96504,0.60601,0.66895,0.65142,0.53886,0.62023,0.68639,0.6548,0.52685,0.74085,1.60623,1.14984,1.07337,0.000561279,0.000561279,0.000561279
69,2207.48,0.67445,1.11145,0.55286,0.96736,0.62965,0.68408,0.62862,0.51599,0.64651,0.70343,0.63726,0.50546,0.77522,1.58827,1.16256,1.06126,0.000544776,0.000544776,0.000544776
70,2238.85,0.66469,1.08265,0.53625,0.96066,0.60591,0.68343,0.60067,0.49061,0.60024,0.69301,0.60443,0.48037,0.79379,1.61712,1.23477,1.08711,0.000528272,0.000528272,0.000528272
71,2270.26,0.65933,1.06989,0.53888,0.96127,0.60102,0.71893,0.65751,0.54808,0.61312,0.72675,0.65838,0.53574,0.74048,1.57477,1.10419,1.05286,0.000511769,0.000511769,0.000511769
72,2302.43,0.66442,1.07878,0.54455,0.95883,0.59836,0.7071,0.63969,0.52698,0.59877,0.71086,0.63551,0.52125,0.77907,1.55495,1.1019,1.07983,0.000495266,0.000495266,0.000495266
73,2334.43,0.66527,1.08524,0.5412,0.96357,0.60337,0.73373,0.63245,0.51565,0.60093,0.73077,0.62468,0.50598,0.74275,1.57998,1.14753,1.06812,0.000478762,0.000478762,0.000478762
74,2366.43,0.65224,1.05269,0.53153,0.96187,0.61159,0.73607,0.61306,0.49758,0.61159,0.73607,0.60804,0.49577,0.7611,1.49383,1.17235,1.08269,0.000462259,0.000462259,0.000462259
75,2397.9,0.64837,1.06275,0.53608,0.95565,0.63601,0.6824,0.64377,0.54097,0.63877,0.68536,0.64706,0.52218,0.73725,1.50708,1.09316,1.0507,0.000445756,0.000445756,0.000445756
76,2429.26,0.65663,1.09357,0.53676,0.95876,0.64259,0.71302,0.67123,0.55224,0.65325,0.72485,0.6736,0.54301,0.74133,1.56384,1.0982,1.06194,0.000429253,0.000429253,0.000429253
77,2460.8,0.64361,1.04846,0.52093,0.9503,0.68678,0.65385,0.66243,0.55166,0.69256,0.65982,0.66363,0.54492,0.71978,1.61458,1.08586,1.05298,0.000412749,0.000412749,0.000412749
78,2492.08,0.65406,1.04315,0.56122,0.97769,0.58997,0.72189,0.62845,0.50361,0.59802,0.73077,0.62544,0.49738,0.7615,1.56206,1.16198,1.07475,0.000396246,0.000396246,0.000396246
79,2523.48,0.63716,1.04409,0.50904,0.94702,0.63554,0.65385,0.6335,0.5188,0.63477,0.64793,0.63082,0.50862,0.74423,1.48029,1.14268,1.06653,0.000379743,0.000379743,0.000379743
80,2555.04,0.64445,1.04913,0.51683,0.95577,0.61471,0.71277,0.63905,0.52978,0.62072,0.72485,0.63645,0.51487,0.73084,1.546,1.12859,1.06142,0.000363239,0.000363239,0.000363239
81,2586.37,0.64715,1.05145,0.51545,0.95706,0.61452,0.69332,0.63471,0.52317,0.63045,0.71168,0.64431,0.51145,0.73126,1.51512,1.14973,1.06647,0.000346736,0.000346736,0.000346736
82,2617.48,0.62937,1.03084,0.507,0.94664,0.60278,0.73964,0.63261,0.52709,0.6107,0.7426,0.63854,0.5135,0.72841,1.55968,1.16401,1.05676,0.000330233,0.000330233,0.000330233
83,2648.86,0.63109,1.03534,0.50546,0.95159,0.59549,0.71598,0.62424,0.52036,0.60013,0.72189,0.62872,0.51466,0.73048,1.47657,1.15214,1.06062,0.000313729,0.000313729,0.000313729
